id,status,created_by,created_on,modified_by,modified_on,order_num,territorycode,territorylevel,territoryname,territory_pinyin,territorysort,x_wgs84,y_wgs84,territoryparentid
1018,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,371321,4,沂南县,YNX,0,118.465213,35.549976,100
1019,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,371322,4,郯城县,TCX,0,118.367263,34.613557,100
102,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,371500,3,聊城市,LCS,0,115.985371,36.4567039,18
1020,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,371323,4,沂水县,YSX,0,118.627918,35.79045,100
1021,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,371324,4,苍山县,CSX,0,118.07065,34.857149,100
1022,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,371325,4,费县,FX,0,117.977868,35.26634,100
1023,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,371326,4,平邑县,PYX,0,117.640352,35.5059429,100
1024,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,371327,4,莒南县,JNX,0,118.835163,35.174846,100
1025,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,371328,4,蒙阴县,MYX,0,117.945085,35.710032,100
1026,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,371329,4,临沭县,LSX,0,118.650782,34.919852,100
1027,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,371402,4,德城区,DCQ,0,116.299434,37.451272,101
1028,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,371421,4,陵县,LX,0,116.576176,37.33579,101
1029,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,371422,4,宁津县,NJX,0,116.800324,37.652329,101
103,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,371600,3,滨州市,BZS,0,117.970703,37.38199,18
1030,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,371423,4,庆云县,QYX,0,117.385123,37.77539,101
1031,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,371424,4,临邑县,LYX,0,116.86665,37.189864,101
1032,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,371425,4,齐河县,QHX,0,116.758917,36.795011,101
1033,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,371426,4,平原县,PYX,0,116.434187,37.165419,101
1034,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,371427,4,夏津县,XJX,0,116.001726,36.948371,101
1035,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,371428,4,武城县,WCX,0,116.069302,37.213311,101
1036,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,371481,4,乐陵市,LLS,0,117.231935,37.729907,101
1037,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,371482,4,禹城市,YCS,0,116.638387,36.934259,101
1038,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,371502,4,东昌府区,DCFQ,0,115.988484,36.434697,102
1039,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,371521,4,阳谷县,YGX,0,115.79182,36.114392,102
104,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,371700,3,菏泽市,HZS,0,115.480656,35.23375,18
1040,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,371522,4,莘县,SX,0,115.671191,36.233599,102
1041,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,371523,4,茌平县,CPX,0,116.255282,36.5807639,102
1042,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,371524,4,东阿县,DAX,0,116.24758,36.334917,102
